id_song,date,points,lyrics
0,2015-12-01,50 points,J'ai posé ma langue sur ta bouche
0,2016-09-03,1000 €,Les flots
0,2017-11-18,30 points,Ma langue sur ta bouche
0,2018-04-28,40 points,Savourer l'essence de tes moindres mots
0,2018-07-24,40 points,Caressé l'esprit de nos idéaux
0,2019-05-25,20 points,De nos idéaux
0,2020-01-09,20 points,Nos serments interdits
0,2020-07-14,20 points,Jure liberté chérie
0,2020-11-05,1000 €,Qui fusillent
0,2020-12-22,1000 €,Te démaquillent
0,2021-03-03,40 points,Près de nous le plaisir en péril
0,2021-03-09,20 points,Je le jure
0,2021-05-31,30 points,De tes moindres mots
0,2021-11-11,40 points,Caresser l'esprit de nos idéaux
1,2016-12-28,1000 €,Nos illusions
1,2018-01-07,1000 €,On abandonne
1,2018-01-07,2000 €,Canons tonnent les cris résonnent
1,2018-04-14,1000 €,Ciel pardonne
1,2018-04-14,2000 €,Déraison les canons tonnent
1,2019-06-08,1000 €,On abandonne
1,2019-06-25,1000 €,Ciel pardonne
1,2020-08-14,1000 €,Ciel pardonne
1,2020-08-14,2000 €,La déraison les canons tonnent
1,2020-08-14,5000 €,On veut des fleurs à nos douleurs
1,2020-08-14,10000 €,Qui nous ont appris le prix d'un homme
1,2020-08-14,20000 €,Nous sommes au nom de nos frères tombés dans l'oubli des droits de l'homme
3,2015-06-19,30 points,D'être toujours réunis
3,2020-01-29,1000 €,Tout partager
3,2022-04-01,1000 €,Première fois
3,2022-04-01,2000 €,D’être toujours réunis
3,2022-04-01,5000 €,Où aller sur des chemins isolés
3,2022-04-01,10000 €,"Mais cet instant tu sais, on ne peut l’oublier"
3,2022-04-01,20000 €,Sont unies c’est la magie d’un soir qui s’est gravée dans nos mémoires
4,2015-10-16,50 points,Ne pas regretter garder les instants qu'on a volés
4,2017-04-14,30 points,Et qui s'abandonne
4,2017-09-23,20 points,Oublier ton image
4,2018-02-05,30 points,Retrouvé de la liberté
4,2018-12-27,30 points,Penser à demain recommencer
4,2020-01-12,1000 €,Ses émois
4,2020-01-12,2000 €,Regarder un ciel étoilé
4,2020-01-12,5000 €,Sans se retourner ne pas regretter
4,2020-01-12,10000 €,L'amour que l'on donne et qui s'abandonne
4,2020-01-12,20000 €,De la liberté ouvrir les yeux sans se dire adieu ne penser à rien rêver un peu
4,2020-07-15,30 points,Instants qu'on a volés
4,2021-02-20,40 points,L'on donne et qui s'abandonne
4,2021-05-21,40 points,Pour un rêve qui nous étonne
4,2021-06-09,20 points,Oublier ton image
4,2022-04-21,20 points,Effacer notre amour
5,2018-12-19,20 points,N'oublies jamais
5,2021-10-14,10 points,Tes pensées
8,2013-01-18,30 points,Je pense à mes copines
8,2013-03-27,40 points,On s'allume pour de bon
8,2014-07-19,1000 €,J'abandonne
8,2018-08-21,30 points,Je pense à mes copines
8,2019-07-17,20 points,Mec de frime
8,2020-07-24,30 points,Si c'est ton style
8,2020-11-24,1000 €,Tu oses
8,2020-11-24,2000 €,Me trouve super bonne
8,2020-11-24,5000 €,On pleure sur tous les tons
8,2020-11-24,10000 €,Qui me vient quand je pense à mes copines
8,2020-11-24,20000 €,Pour un mec de frime tu déprimes je te le laisse si c'est ton style
8,2021-12-24,20 points,À mes copines
8,2022-01-24,1000 €,Super bonne
8,2022-04-05,20 points,Pour de bon
9,2013-08-02,20 points,Un éternel révolté
12,2021-11-19,20 points,De mes rêves
12,2022-01-22,1000 €,nous déplaire
13,2020-04-07,20 points,Ces yeux furibonds
13,2020-12-24,1000 €,Quinze ans
13,2022-01-01,50 points,D'une fable pour venir habiter mon rêve
15,2019-11-30,20 points,Avant le mariage
15,2020-03-13,1000 €,aux folies
15,2020-03-13,2000 €,il vous passe la muselière
15,2020-03-13,5000 €,comme vous l’étiez à notre âge
15,2021-01-11,40 points,Nous sépare nous voguons par-delà les violons
15,2021-09-14,30 points,Bien qu'il me sourie
16,2020-08-09,1000 €,Du Nevada
17,2017-02-10,1000 €,bleu marine
17,2017-02-10,2000 €,je paie l'effet retard
17,2017-02-10,5000 €,l'on me trouve à moitié morte
17,2018-09-18,20 points,M'en fous
17,2019-09-13,50 points,Point de non-retour plutôt limite de notre amour
17,2020-01-16,20 points,M'en fous
17,2020-04-17,50 points,Point de non-retour plutôt limite de notre amour
17,2020-08-22,50 points,Repêcher ta petite sardine l'empêcher de se noyer
17,2021-04-28,1000 €,tellement abandonnée
17,2021-04-28,2000 €,paie l'effet retard
17,2021-04-28,5000 €,Pour toi je m'en fous
17,2021-04-28,10000 €,M'enlacer je t'embrassais jusqu'au point de non-retour
17,2021-04-28,20000 €,Repêcher ta petite sardine l'empêcher de se noyer au fond de toi la garder
17,2021-09-09,30 points,Se passait dans le fond
17,2022-12-04,30 points,Me trouve à moitié morte
19,2016-12-02,30 points,Played it to the beat
21,2013-01-24,10 points,Papillons bleus
21,2014-08-07,20 points,Deux papillons bleus
21,2015-01-15,30 points,Le plus sérieux du monde
21,2015-08-09,20 points,Nom de baptême
21,2018-04-07,20 points,Nom de baptême
21,2020-03-11,20 points,Ton regard ailé
21,2020-06-27,20 points,Nom de baptême
21,2020-08-22,20 points,Tu te maquilles
21,2021-01-06,30 points,Tu plisses ton front enfantin
21,2021-08-18,30 points,Tu plisses ton front enfantin
21,2022-02-21,30 points,Tu es très très jolie
22,2018-07-31,1000 €,je baigne
22,2021-05-21,30 points,Vomir sous la couette
22,2021-06-09,1000 €,je fainéante
24,2015-01-15,40 points,À maman que je suis un phénomène
24,2016-08-31,40 points,À maman que je suis un phénomène
24,2016-10-29,30 points,À se jeter sur moi
24,2016-11-19,20 points,Langue au chat
24,2017-06-15,40 points,Collégienne aux bas bleu de méthylène
24,2017-09-23,30 points,Coléreuse et pas mi-coton mi-laine
24,2017-11-16,30 points,Tout autour de moi
24,2018-04-30,30 points,Aux bas bleu de méthylène
24,2018-05-19,20 points,Langue au chat
24,2018-07-22,50 points,Pas à maman que je suis un phénomène
24,2018-08-20,30 points,Aux bas bleu de méthylène
24,2019-03-08,30 points,Donne ma langue au chat
24,2019-04-18,40 points,Collégienne aux bas bleu de méthylène
24,2019-07-01,20 points,Autour de moi
24,2019-11-10,40 points,Collégienne aux bas bleu de méthylène
24,2020-08-07,20 points,Jeter sur moi
24,2020-12-30,20 points,Faute à moi
24,2021-02-02,20 points,Langue au chat
24,2021-06-07,40 points,Collégienne aux bas bleu de méthylène
24,2021-07-10,50 points,Pas à maman que je suis un phénomène
24,2021-08-23,40 points,Lolita coléreuse et pas mi-coton mi-laine
24,2021-09-06,30 points,Que je suis un phénomène
24,2021-12-30,50 points,Un fou rire aussi fou qu'un phénomène
24,2022-04-13,50 points,Pas à maman que je suis un phénomène
26,2016-09-02,20 points,Pour ta flamme
31,2021-11-22,30 points,Dont tu as rêvé
32,2018-07-26,1000 €,de plus
32,2018-07-26,2000 €,nous ne tournerons plus
32,2018-07-26,5000 €,la vie te cueille comme une fleur
32,2020-05-25,1000 €,de plus
32,2020-05-25,10000 €,deviennent des flammes les petites filles deviennent des femmes
32,2020-05-25,20000 €,ont de l'importance mais demain renaîtra le jour comme si nous n'avions pas vécu
32,2022-01-28,1000 €,quelle importance
38,2018-01-05,40 points,Moi l'animal je retiens ma respiration
38,2020-08-22,40 points,La flamme j'éteins tes hésitations
38,2021-04-28,50 points,Faisons le plein pour fuir loin de la peine
38,2021-06-16,40 points,Je me brûle de tant de questions
38,2021-09-29,30 points,Je retiens ma respiration
39,2018-01-02,50 points,En deux hémisphères comme une erreur de l'univers
39,2018-02-20,40 points,Un sens un point de repère
39,2018-03-16,50 points,Que j'en ai les lèvres de pierre
39,2018-06-29,40 points,Comme une erreur de l'univers
39,2018-09-17,50 points,En deux hémisphères comme une erreur de l'univers
39,2019-01-01,50 points,Que j'en ai les lèvres de pierre
39,2019-08-06,50 points,Un point de repère partagé en deux hémisphères
39,2019-10-25,50 points,En deux hémisphère comme une erreur de l'univers
39,2020-02-26,40 points,Un sens un point de repère
39,2020-05-09,40 points,Jeté tellement de bouteilles à la mer
39,2020-07-12,40 points,J'en ai les lèvres de pierre
39,2020-07-15,40 points,J'ai bu tant de liqueurs amères
39,2021-03-29,50 points,Qu'on trouve un paradis perdu en nous
39,2021-06-05,40 points,Comme une erreur de l'univers
39,2021-07-20,50 points,Un point de repère partagé entre deux hémisphères
39,2022-02-21,50 points,J'ai jeté tellement de bouteilles à la mer
40,2020-06-11,40 points,Pour les lions de la savane
40,2021-01-11,1000 €,la voix
40,2021-01-11,2000 €,s'inventer des princesses
40,2021-01-11,5000 €,des potes on en a plein
40,2021-01-11,10000 €,l'aise comme dans ton salon viens meubler ta tristesse
40,2021-01-11,20000 €,tant pis si on tombe dans le vide tant qu'on a le verre à moitié plein
40,2021-01-27,50 points,Sois à l'aise comme dans ton salon
40,2021-04-23,1000 €,D'ivresse
40,2021-04-23,2000 €,S'inventer des princesses
40,2021-05-15,40 points,dans ton salon viens meubler ta tristesse
40,2021-12-24,50 points,Viens on se la joue on se pavane
41,2019-06-22,1000 €,Des sangles
41,2019-07-08,40 points,Ça tue sauf quand tu te démènes
41,2019-10-18,1000 €,Le yang
41,2020-01-21,1000 €,Des sangles
41,2020-01-21,2000 €,M'ont parfois dépassé
41,2020-01-21,5000 €,Je veux qu'on aille bien
41,2020-01-21,10000 €,Je me plante entre l'amie et l'amante
41,2020-01-21,20000 €,À nos égos posés comme des legos j'veux qu'on se laisse un peu d'espace
41,2020-06-20,40 points,Les démons chantent et nous démentent
41,2020-09-26,40 points,Qu'il faut que je te mente 
41,2020-11-19,1000 €,M'étrangle
41,2020-11-19,2000 €,Que tu me ramènes
41,2020-11-19,5000 €,Les démons chantant et nous démentent
41,2021-06-24,20 points,Tu me ramènes
42,2019-08-16,30 points,Ma peau sur la tienne
42,2019-09-21,40 points,Mon sourire et ma carte chance
42,2020-01-30,30 points,Ma peau sur la tienne
42,2020-04-25,40 points,Mon sourire et ma carte chance
42,2020-07-31,20 points,Sur la tienne
42,2021-06-28,20 points,T'es mienne
42,2021-08-03,40 points,Toi dans ce monde de fous
42,2021-10-21,40 points,Mon sourire et ma carte chance
42,2021-11-09,20 points,Yeux s'éteignent
42,2022-01-21,30 points,Tous les deux quand même
43,2017-04-04,30 points,À tendre la main
43,2017-06-16,20 points,Toujours été là
43,2017-06-17,50 points,Côté que j'ai juste à tendre la main
43,2017-09-30,40 points,La douceur est ton seul refrain
43,2018-04-14,40 points,Je peux la passer à t'écouter
43,2018-06-06,40 points,La douceur est ton seul refrain
43,2018-07-05,20 points,Toujours été là
43,2018-08-17,40 points,J'ai juste à tendre la main
43,2018-09-22,50 points,Ma vie je peux la passer à t'écouter
43,2019-03-29,1000 €,de moi
43,2019-05-01,50 points,Que j'ai juste à tendre la main
43,2019-07-21,30 points,Rêve est juste à côté
43,2019-11-09,1000 €,de douleurs
43,2019-11-09,2000 €,été sûr de moi
43,2019-11-09,5000 €,ce que je ferais sans toi
43,2019-11-09,10000 €,ma vie je peux la passer à t'écouter
43,2019-11-09,20000 €,autour de toi toi t'es la seule qui voit la beauté bien cachée derrière les visages
43,2020-04-08,50 points,Côté que j'ai juste à tendre la main
43,2020-04-15,1000 €,de douleurs
43,2020-04-15,2000 €,été sûr de moi
43,2020-04-15,5000 €,ce que je ferais sans toi
43,2020-04-15,10000 €,ma vie je peux la passer à t'écouter
43,2020-04-15,20000 €,autour de toi toi t'es la seule qui voit la beauté bien cachée derrière les visages
43,2020-05-20,40 points,La douceur est ton seul refrain
43,2021-02-04,50 points,Ma vie je peux la passer à t'écouter
43,2021-07-01,50 points,Promets-moi de ne jamais tourner la page
43,2021-09-17,40 points,J'ai plié tellement de fois
43,2021-12-18,40 points,La douceur est ton seul refrain
43,2022-02-14,50 points,Qui voit la beauté bien cachée derrière les visages
43,2022-04-14,40 points,J'ai juste à tendre la main
43,,40 points,Je peux la passer à t'écouter
44,2020-05-16,1000 €,Le goéland
46,2014-03-11,50 points,Sourire gentiment et finalement me donne la gerbe
46,2014-12-16,1000 €,Bien lourd
46,2014-12-16,2000 €,Me fait sourire gentiment
46,2014-12-16,5000 €,Autant de mièvrerie nappée de crème pâtissière
46,2014-12-16,10000 €,Cinq minutes mon ange mais ça répondait pas
46,2014-12-16,20000 €,De la journée en niquant tout mon forfait qu'est-ce que tu fais mon adoré
46,2016-02-15,1000 €,D'amour
46,2016-02-15,2000 €,Passe moi la salade
46,2016-02-15,5000 €,Qui me rappelle que je suis seule
46,2017-10-11,30 points,Je les hais tout court
46,2018-04-25,50 points,Cinq minutes mon ange mais ça répondait pas
46,2018-08-24,50 points,Alors je m'inquiétais alors j' t'ai rappelé
46,2018-09-07,50 points,La même chose qu'y a une demi-heure
46,2019-09-20,40 points,Mon ange mais ça répondait pas
46,2020-04-24,40 points,Mon ange mais ça répondait pas
46,2020-06-30,50 points,La même chose qu'y a une demi-heure
46,2020-08-14,50 points,Épais coulis ça me laisse le cul par terre
46,2020-11-09,40 points,Se donne la becquée à table
46,2020-11-30,20 points,Donne la gerbe
46,2021-07-10,10 points,Tout court
46,2021-11-30,50 points,Qu'est ce que tu fais mon adoré
46,2021-12-07,40 points,Ça répondait pas alors je m'inquiétais
46,2022-01-28,50 points,Des mamours se donne la becquée à table
47,2020-02-21,40 points,Tes parents et ton frère ça aide
47,2020-04-08,30 points,Le plus beau des poèmes
47,2020-06-04,20 points,Pas très beaux
47,2020-09-14,40 points,De moi c'est quoi ton problème
47,2020-12-14,30 points,Polie pour la télé
47,2021-01-20,30 points,Un jour peut-être ça changera
47,2021-02-19,50 points,Je sais qu'au fond t'as compris
47,2021-03-22,30 points,Tu parles de moi
