id_song,artist,title,url,Interprète,Auteurs,Compositeurs,Année
0,1789 : Les Amants de la Bastille,Ça ira mon amour,/fr/wiki/%C3%87a_ira_mon_amour,"Rod Janois dans ""1789, Les amants de la Bastille""",Dove Attia et Vincent Baguian," Dove Attia, Rod Janois, William Rousseau, Jean-Pierre Pilot et Olivier Schultheis",2011
1,1789 : Les Amants de la Bastille,Pour la peine,/fr/wiki/Pour_la_peine,1789,Dove Attia et Vincent Baguian,"Dove Attia, Rod Janois, William Rousseau, Jean-Pierre Pilot et Olivier Schultheis",2012
2,1789 : Les Amants de la Bastille,Tomber dans ses yeux,/fr/wiki/Tomber_dans_ses_yeux,Louis Delort et Camille Lou dans 1789,Dove Attia et Vincent Baguian,Benoît Poher (Kyo),2011
3,2 Be 3,2 be 3,/fr/wiki/2_be_3,2 be 3,,Laurent Marimbert,1997
4,2 Be 3,Partir un jour,/fr/wiki/Partir_un_jour,2 be 3,Pénélope Marcelin,Laurent Marimbert,1996
5,2 Be 3,Toujours là pour toi,/fr/wiki/Toujours_l%C3%A0_pour_toi,2 be 3,Stock Aikten Waterman,Laurent Marimbert,1997
6,47Ter,Côte ouest,/fr/wiki/C%C3%B4te_ouest,47Ter,"Blaise Ligouzat, Miguel Lopes et Pierre Delamotte","Blaise Ligouzat, Miguel Lopes et Pierre Delamotte",2019
7,47Ter,Soleil noir,/fr/wiki/Soleil_noir,47Ter,,,2019
8,À caus' des garçons,À caus' des garçons,/fr/wiki/%C3%80_caus%27_des_gar%C3%A7ons,À caus' des garçons,Pierre Grillet et Alain Chamfort,Pierre Grillet et Alain Chamfort,1988
9,Adam et Ève : La Seconde Chance,Ma bataille,/fr/wiki/Ma_bataille,"Thierry Amiel et Nuno Resende dans ""Adam et Ève",,Pascal Obispo,2011
10,Adam et Ève : La Seconde Chance,Rien ne se finit,/fr/wiki/Rien_ne_se_finit,Thierry Amiel et Cylia dans la comédie musicale Adam et Ève,,,2011
11,Adamo Salvatore,C'est ma vie,/fr/wiki/C%27est_ma_vie,Salvatore Adamo,Salvatore Adamo,Salvatore Adamo,1975
12,Adamo Salvatore,Les filles du bord de mer,/fr/wiki/Les_filles_du_bord_de_mer,Salvatore Adamo,Salvatore Adamo,Salvatore Adamo,1964
13,Adamo Salvatore,Mes mains sur tes hanches,/fr/wiki/Mes_mains_sur_tes_hanches,Salvatore Adamo,Salvatore Adamo,Salvatore Adamo,1966
14,Adamo Salvatore,Tombe la neige,/fr/wiki/Tombe_la_neige,Salvatore Adamo,Salvatore Adamo,Salvatore Adamo,1963
15,Adamo Salvatore,"Vous permettez, monsieur ?","/fr/wiki/Vous_permettez,_monsieur_%3F",Salvatore Adamo,Salvatore Adamo,Salvatore Adamo,1964
16,Adjani Isabelle,Ohio,/fr/wiki/Ohio,Isabelle Adjani,Serge Gainsbourg,Serge Gainsbourg,1984
17,Adjani Isabelle,Pull marine,/fr/wiki/Pull_marine,Isabelle Adjani,Serge Gainsbourg et Isabelle Adjani,Serge Gainsbourg,1983
18,Adele,Hello,/fr/wiki/Hello,Adèle,"Adele Adkins, Greg Kurstin et Charlie Milner",Adele Adkins et Greg Kurstin,2015
19,Adele,Rolling in the Deep,/fr/wiki/Rolling_in_the_Deep,Adele,Adele Adkins et Paul Epworth,Adele Adkins et Paul Epworth,2010
20,Alamo Frank,Je me bats pour gagner,/fr/wiki/Je_me_bats_pour_gagner,Frank Alamo,"Georges Aber, John Lennon, Paul Mc Cartney (Adaptation du ""Hard day's night"" des Beatles)","Georges Aber, John Lennon, Paul Mc Cartney (Adaptation du ""Hard day's night"" des Beatles)",1964
21,Alamo Frank,Ma biche,/fr/wiki/Ma_biche,Frank Alamo,Mort Shuman et Doc Pomus,,1963
22,Alizée,J'en ai marre,/fr/wiki/J%27en_ai_marre,Alizée,Mylène Farmer,Laurent Boutonnat,2003
23,Alizée,L'Alizé,/fr/wiki/L%27Aliz%C3%A9,Alizée ,,,2000
24,Alizée,Moi Lolita,/fr/wiki/Moi_Lolita,Alizée,Mylène Farmer,Laurent Boutonnat,2000
25,Allen Lily,22,/fr/wiki/22,Lily Allen et Ours,,,2009
